Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Sum
 01/02  12:00:00,1381.154331,94.71476999,494.5445946,0,243.2593065,310.1097119,569.96778,463.5408911,70.80837451,35.61851432,3663.718274
 01/02  13:00:00,1335.249123,94.73605098,489.9047655,0,243.2593065,310.1097119,553.2929549,447.0417624,70.80837451,35.44281795,3579.844868
 01/02  14:00:00,1369.659967,94.84244984,490.8796277,0,243.2593065,302.6124365,531.6173889,439.3508751,56.64669961,35.61981415,3564.488565
 01/02  15:00:00,1369.844738,94.94621106,490.9463607,0,243.2593065,302.6124365,512.6981458,430.4537612,42.48502471,39.75935989,3527.005344
 01/02  16:00:00,1369.605601,95.0399487,490.6126146,0,243.2593065,302.6124365,516.2180017,428.2660269,56.64669961,31.3052752,3533.565911
 01/02  17:00:00,1379.848487,95.12118024,490.202632,0,243.2593065,310.1097119,545.579287,425.2984149,84.97004941,35.31082265,3609.699892
 01/02  18:00:00,1391.405291,95.20090203,490.0924033,0,243.2593065,310.1097119,524.0838535,421.6187329,84.97004941,17.4950712,3578.235321
 01/02  19:00:00,1126.214599,94.71476999,491.0243278,0,166.9389264,199.1109338,489.6371865,387.228688,84.97004941,17.43844911,3057.27793
 01/02  20:00:00,1119.642626,94.71476999,491.3164374,0,166.9389264,191.6136585,466.2982144,392.2155474,56.64669961,17.43596735,2996.822847
 01/02  21:00:00,985.4496264,94.71476999,490.9812132,0,100.1506573,124.5586935,499.8686868,434.4916975,56.64669961,8.730289696,2795.592334
 01/02  22:00:00,945.9935558,94.71476999,490.9925633,0,100.1506573,124.5586935,499.4539382,439.571729,42.48502471,17.39718453,2755.318116
 01/02  23:00:00,878.4084939,94.71476999,490.9905399,0,46.09303362,124.5586935,493.2287112,456.1991704,28.3233498,8.706191027,2621.222953
 01/02  24:00:00,878.9327762,94.71476999,490.5627936,0,46.09303362,124.5586935,491.234612,459.6803378,14.1616749,17.39259927,2617.331291
 01/03  01:00:00,846.6574208,94.71476999,469.0438043,0,46.09303362,113.3127805,473.5663754,459.1953028,5.664669961,8.706402706,2516.95456
 01/03  02:00:00,844.5499158,94.71476999,466.568918,0,46.09303362,113.3127805,483.0921783,460.0344707,5.664669961,17.39303765,2531.423774
 01/03  03:00:00,870.5352649,94.71476999,494.6655037,0,46.09303362,113.3127805,489.5031952,466.4469901,5.664669961,17.39153516,2598.327743
 01/03  04:00:00,878.6963396,94.71476999,506.5505085,0,46.09303362,113.3127805,488.9494966,474.5790114,5.664669961,8.705815275,2617.266425
 01/03  05:00:00,959.6213691,94.71476999,494.619909,0,100.1506573,148.9693994,480.0283548,456.9718062,5.664669961,17.39187868,2758.132815
 01/03  06:00:00,959.6870623,94.71476999,483.3781376,0,100.1506573,149.8943994,780.7856181,757.917941,14.1616749,8.706002188,3349.396263
 01/03  07:00:00,1194.848069,94.89444627,476.2721795,0,176.4710373,302.6124365,562.0155222,516.2999275,28.3233498,17.39224494,3369.129214
 01/03  08:00:00,1300.785773,95.1908175,472.3868921,0,243.2593065,310.1097119,520.9608745,460.9300033,42.48502471,17.54584649,3463.65425
 01/03  09:00:00,1341.035785,95.31646544,472.6355202,0,243.2593065,310.1097119,505.5574779,422.481688,56.64669961,26.4290903,3473.471745
 01/03  10:00:00,1379.117079,95.43369925,475.7740763,0,243.2593065,302.6124365,479.7020132,401.8614632,42.48502471,35.35552533,3455.600625
 01/03  11:00:00,1379.88174,95.82055028,480.7085831,0,243.2593065,310.1097119,491.3491068,385.0003049,70.80837451,35.54042738,3492.478105
 01/03  12:00:00,1380.927658,96.3889453,485.1638533,0,243.2593065,310.1097119,481.2771507,374.8587001,70.80837451,35.61007612,3478.403777
 01/03  13:00:00,1337.316133,97.13022853,488.3812094,0,243.2593065,310.1097119,474.0101268,367.7658643,70.80837451,35.43588794,3424.216843
 01/03  14:00:00,1371.213982,97.81292836,492.2753554,0,243.2593065,302.6124365,450.9472475,358.6885929,56.64669961,35.61195496,3409.068504
 01/03  15:00:00,1375.178457,98.72247249,495.291211,0,243.2593065,302.6124365,420.6949003,342.655541,42.48502471,35.55433459,3356.453684
 01/03  16:00:00,1368.722794,99.36576953,487.6467315,0,243.2593065,302.6124365,427.7587073,335.6218768,56.64669961,35.49013091,3357.124453
 01/03  17:00:00,1379.58608,99.68924366,487.5365899,0,243.2593065,310.1097119,457.3962411,345.9405495,84.97004941,26.48564216,3434.973414
 01/03  18:00:00,1394.445511,99.9626527,490.6625774,0,243.2593065,310.1097119,472.0466115,360.846358,84.97004941,26.23020408,3482.532983
 01/03  19:00:00,1132.714756,94.71476999,500.1214743,0,166.9389264,199.1109338,460.679264,358.2740087,84.97004941,17.43520589,3014.959389
 01/03  20:00:00,1130.890014,94.71476999,496.9145805,0,166.9389264,191.6136585,433.5833715,368.2068555,56.64669961,8.729816446,2948.238693
 01/03  21:00:00,998.9838723,94.71476999,485.5377275,0,100.1506573,124.5586935,483.8828346,409.7982089,56.64669961,17.43792608,2771.71139
 01/03  22:00:00,955.8118957,94.71476999,480.2703091,0,100.1506573,124.5586935,477.3147043,417.4330348,42.48502471,17.39664482,2710.135734
 01/03  23:00:00,887.5084,94.71476999,477.465484,0,46.09303362,124.5586935,473.503163,436.4725681,28.3233498,8.707245075,2577.346707
 01/03  24:00:00,885.2365495,94.71476999,475.2352858,0,46.09303362,124.5586935,474.4025618,442.8489293,14.1616749,17.39195758,2574.643456
 01/04  01:00:00,871.8140863,94.71476999,472.4037518,0,46.09303362,113.3127805,462.3233395,447.9511948,5.664669961,8.707474672,2522.985101
 01/04  02:00:00,846.830009,94.71476999,452.4530867,0,46.09303362,113.3127805,476.1421442,453.0850661,5.664669961,17.39240814,2505.687968
 01/04  03:00:00,820.2009451,94.71476999,433.8906393,0,46.09303362,113.3127805,475.2553491,460.8856496,5.664669961,8.705029589,2458.722867
 01/04  04:00:00,808.8546549,94.71476999,424.6144738,0,46.09303362,113.3127805,489.6708918,466.6134304,5.664669961,17.3927914,2466.931496
 01/04  05:00:00,909.9258743,94.71476999,434.1438911,0,100.1506573,148.9693994,463.9052359,449.5353651,5.664669961,8.705200939,2615.715064
 01/04  06:00:00,919.5798653,94.84808914,433.2298224,0,100.1506573,149.8943994,720.4020382,688.8457744,14.1616749,17.39458897,3138.50691
 01/04  07:00:00,1154.114247,95.59131194,435.7873986,0,176.4710373,302.6124365,530.9686749,493.9399528,28.3233498,8.705372341,3226.513781
 01/04  08:00:00,1273.768095,96.85194887,452.7734866,0,243.2593065,310.1097119,511.657378,442.8668325,42.48502471,26.30552075,3400.077305
 01/04  09:00:00,1315.464098,97.76172654,463.1827777,0,243.2593065,310.1097119,490.727603,407.6510759,56.64669961,26.42982755,3411.232827
 01/04  10:00:00,1352.616262,98.5347703,473.611693,0,243.2593065,302.6124365,454.2257711,385.2219452,42.48502471,26.51880114,3379.086011
 01/04  11:00:00,1371.899849,99.1110113,485.5038401,0,243.2593065,310.1097119,484.1215506,368.8755459,70.80837451,44.43763018,3478.12682
 01/04  12:00:00,1383.240855,99.66102216,494.2146222,0,243.2593065,310.1097119,465.1850167,358.7738701,70.80837451,35.6027721,3460.855551
 01/04  13:00:00,1338.877638,100.2039807,490.5345831,0,243.2593065,310.1097119,459.0217894,352.7835744,70.80837451,35.42984049,3401.028799
 01/04  14:00:00,1370.173863,100.8399693,487.6600065,0,243.2593065,302.6124365,436.4293708,344.1775639,56.64669961,35.60510727,3377.404324
 01/04  15:00:00,1376.454981,101.7187233,493.2955974,0,243.2593065,302.6124365,409.545194,331.5125347,42.48502471,35.54763456,3336.431433
 01/04  16:00:00,1379.743879,102.1717522,496.3342505,0,243.2593065,302.6124365,423.0313628,330.9005008,56.64669961,35.48416232,3370.184351
 01/04  17:00:00,1391.598328,102.3940016,498.0591542,0,243.2593065,310.1097119,454.5840634,343.1264908,84.97004941,26.48752326,3454.588629
 01/04  18:00:00,1399.489343,102.5661531,495.1639307,0,243.2593065,310.1097119,459.0833621,356.6184724,84.97004941,17.4948403,3468.755169
 01/04  19:00:00,1120.801095,94.71476999,491.0588237,0,166.9389264,199.1109338,462.5922495,360.1820954,84.97004941,17.44010476,2997.809049
 01/04  20:00:00,1110.724473,94.71476999,487.2263957,0,166.9389264,191.6136585,441.7309157,367.6469248,56.64669961,17.43729124,2934.680055
 01/04  21:00:00,975.5762869,94.71476999,484.3785912,0,100.1506573,124.5586935,481.9190915,407.8324804,56.64669961,17.43991148,2743.217182
 01/04  22:00:00,933.7708026,94.71476999,484.4100584,0,100.1506573,124.5586935,466.3673604,415.173387,42.48502471,8.708948671,2670.339703
